front_hooks,word,back_hooks,alphagram,definition
,TIGNONS,,GINNOST,"TIGNON, a piece of cloth worn as a headdress in Louisiana [n]"
,TINSELY,,EILNSTY,"tinselly (cheaply gaudy) [adj] / [adj TINSELIER, TINSELIEST]"
s,TITCHES,,CEHISTT,"TITCH, a small amount [n]"
,TITCHIE,r,CEHIITT,"titchy (very small) [adj TITCHIER, TITCHIEST]"
,TOADLET,s,ADELOTT,"a small toad (a tailless, jumping amphibian) [n -S]"
s,TOCKING,,CGIKNOT,TOCK [v]
,TOECLIP,s,CEILOPT,a device that holds the front of a cyclist's shoe to the pedal [n -S]
,TOERAGS,,AEGORST,"TOERAG, a contemptible person [n]"
,TOODLED,,DDELOOT,"TOODLE, to tootle (to toot softly or repeatedly) [v]"
,TOODLES,,DELOOST,"TOODLE, to tootle (to toot softly or repeatedly) [v]"
,TOOLSET,s,ELOOSTT,a set of tools [n -S]
,TORPEFY,,EFOPRTY,"to make sluggish (displaying little movement or activity) [v -FIED, -FYING, -FIES]"
,TORQUEY,,EOQRTUY,"providing force to cause rotation [adj -QUIER, -QUIEST]"
,TORUSES,,EORSSTU,"TORUS, a large convex molding [n]"
,TOSTONE,s,ENOOSTT,a Mexican dish of fried plantains [n -S]
,TOTTIES,,EIOSTTT,TOTTY [n]
,TOUPIES,,EIOPSTU,"TOUPIE, a round boneless smoked ham [n]"
,TOUTONS,,NOOSTTU,"TOUTON, a deep-fried round of bread dough [n]"
,TOYLAND,s,ADLNOTY,the toy industry [n -S]
,TOYTOWN,s,NOOTTWY,a small model of a town [n -S]
,TRANKED,,ADEKNRT,"TRANK, to tranquilize [v]"
,TRANNIE,s,AEINNRT,tranny (a transmission) [n -S]
,TRIALED,,ADEILRT,"TRIAL, to test something to assess its performance [v]"
,TRICITY,,,an area that comprises three adjoining independent cities [n -TIES]
,TRIFFID,s,,a fictional predatory plant [n -S]
,TRIGAMY,,,the crime of being married to three people at once [n -MIES]
,TRIMPOT,s,,a small instrument for adjusting resistance or voltage [n -S]
,TRIPMAN,,,a man hired to work on a trip [n -MEN]
,TRIPMEN,,,"TRIPMAN, a man hired to work on a trip [n]"
,TRUNCAL,,,affecting the trunk (the central part) of the body [adj]
,TSOTSIS,,,"TSOTSI, a black African urban criminal [n]"
,TUNINGS,,,"TUNING, the act of adjusting a musical instrument to a correct pitch [n]"
,TUNKETS,,,"TUNKET, hell [n]"
,TURNIPY,,,"[adj TURNIPIER, TURNIPIEST] / TURNIP, an edible plant root [adj]"
,TUSKIER,,,"TUSKY, having tusks [adj]"
,TWEENIE,s,,[n -S]
,TWISTOR,s,,a complex variable in descriptions of space-time [n -S]
,TWIZZLE,s,,a maneuver in figure skating [n -S]
,TWONESS,,,the state of being two [n -ES]
,TYCHISM,s,,the proposition that chance is operative in the universe [n -S]
,TYPINGS,,,"TYPING, the activity of writing with a typewriter [n]"
j,UDDERED,,,"UDDER, a mammary gland [adj]"
,ULTISOL,s,,a reddish-yellow acid soil [n -S]
,UMPTIER,,,"UMPTY, umpteen (indefinitely numerous) [adj]"
,UNBLIND,s,,"to free from blindness or illusion [v -ED, -ING, -S]"
,UNCARED,,,not properly taken care of [adj]
,UNGREEN,,,"harmful to the environment [adj -GREENER, -GREENEST]"
,UNGROUP,s,,"to separate from a group [v -ED, -ING, -S]"
,UNGULED,,,having hoofs of a color that is different from the body -- used of a heraldic animal [adj]
,UNHASPS,,,"UNHASP, to unfasten (to release from fastenings) [v]"
,UNIBROW,s,,a single continuous eyebrow formed when hair grows above the bridge of the nose [n -S]
,UNICOMS,,,"UNICOM, a radio communications system at some airports [n]"
,UNMOULD,s,,"to unmold (to remove from a mold) [v -ED, -ING, -S]"
,UNOAKED,,,not matured in an oak container --used of wine [adj]
,UNRIVET,s,,"to remove rivets (metal bolts) from [v -ETED, -ETING, -ETS or -ETTED, -ETTING, -ETS]"
,UNROPES,,,"UNROPE, to detach oneself from a rope [v]"
,UNSAFER,,,"UNSAFE, SAFE, free from danger [adj]"
,UNTHAWS,,,"UNTHAW, to thaw (to melt (to change from a solid to a liquid state by heat)) [v]"
,UNTONED,,,lacking in muscular definition [adj]
,UNWAGED,,,not receiving money for work [adj]
,UPALONG,s,,a location away from a person or place [n -S]
,UPSELLS,,,"UPSELL, to try to sell a customer something more expensive [v]"
,UPSKILL,s,,"to improve the job skills of someone [v -ED, -ING, -S]"
p,URGINGS,,,"URGING, an attempt to persuade someone to do something [n]"
,UROGRAM,s,,an X-ray of part of the urinary tract [n -S]
,URTEXTE,,,"URTEXT, the original text [n]"
,VAGUISH,,,"VAGUE, not clearly expressed or understood [adj]"
,VALLUMS,,,"VALLUM, a defensive wall of earth and stone [n]"
,VANITAS,,,a still-life painting having symbols of death or change [n -ES]
,VARROAS,,,"VARROA, a mite that is a parasite of the honeybee [n]"
,VASEFUL,s,,as much as a vase can hold [n -S]
,VEINOUS,,,having prominent veins [adj]
,VERMINS,,,"VERMIN, small, common, harmful, or objectionable animals [n]"
,VERONAL,s,,a sedative drug [n -S]
,VERSALS,,,"VERSAL, an ornate capital letter used to begin a verse or paragraph [n]"
,VERSINS,,,"VERSIN, versine (a trigonometric function of an angle) [n]"
,VESICAS,,,"VESICA, a bladder (a saclike receptacle) [n]"
,VIDALIA,s,,a sweet onion of the southern U.S. [n -S]
,VIDEOED,,,"VIDEO, to record visual images on magnetic tape or disc [v]"
,VIDIOTS,,,"VIDIOT, a habitual, undiscriminating viewer of television [n]"
,VIELLES,,,"VIELLE, a musical instrument played by turning a handle [n]"
,VIFFING,,,"VIFF, to change direction abruptly of a vertical take-off aircraft [v]"
,VIHUELA,s,,a type of early Spanish guitar [n -S]
,VIRGERS,,,"VIRGER, verger (a church official) [n]"
,VITELLI,n,,"VITELLUS, the yolk of an egg [n]"
,VIVERID,s,,[n -S]
,VLOGGED,,,"VLOG, to blog video material [v]"
,VLOGGER,s,,one that vlogs (to blog video material) [n -S]
,VODCAST,s,,"to make video files available for download over the Internet [v -CAST or -CASTED, -CASTING, -CASTS]"
,VOLTING,,,"VOLT, to make a quick movement in fencing to avoid a thrust [v]"
,VOWELED,,,"VOWEL, a type of speech sound [adj]"
,VUGULAR,,,pertaining to vugs (a small cavity in a rock or lode) [adj]
,VULNING,,,"VULN, to wound (to inflict an injury upon) [v]"
,WACKOES,,,"WACKO, a wacky person [n]"
,WAKINGS,,,"WAKING, the state of being awake [n]"
,WALKIES,,,--used to command a dog to prepare for a walk [interj]
,WALLEYS,,,"WALLEY, a type of jump in figure skating [n]"
,WARBIRD,s,,a vintage military aircraft [n -S]
,WAREZES,,,"WAREZ, illegally copied software [n]"
,WARGAME,drs,,"to engage in simulated military conflicts [v -GAMED, -GAMING, -GAMES]"
,WASHBAG,s,,a small bag for carrying toiletries when traveling [n -S]
,WAYANGS,,,"WAYANG, a performance featuring puppets or human dancers [n]"
,WAYMARK,s,,an object that serves as a guide for travelers [n -S]
,WEBINAR,s,,a live interactive educational presentation conducted on a website [n -S]
,WEBZINE,s,,a magazine published on the Internet [n -S]
,WEEDBED,s,,an area of a body of water having many weeds [n -S]
,WEEJUNS,,,[n]
,WEEPILY,,,"WEEPY, tending to weep [adv]"
,WHATCHA,,,[interj]
,WHIPPIT,s,,a small container of nitrous oxide [n -S]
,WHOOMPH,s,,whoomp [n -S]
,WHOOMPS,,,"WHOOMP, a sudden loud sound [n]"
,WHOSESO,,,possessive of whoso [pron]
,WHOSITS,,,"WHOSIT, whoosis (an object or person whose name is not known) [n]"
s,WIGGERS,,,"WIGGER, an unreliable or eccentric person [n]"
,WINGNUT,s,,a nut with projections for gripping with the thumb and finger [n -S]
t,WINKLER,s,,"one that winkles (to displace, extract, or evict from a position) [n -S]"
t,WITTERS,,,"WITTER, to speak at length on trivial matters [v]"
,WOGGLES,,,"WOGGLE, a ring through which a Scout's neckerchief is threaded [n]"
,WONKERY,,,the qualities or activities of a wonk [n -ERIES]
,WONKILY,,,"WONKY, unsteady (firm in position) [adv]"
,WONKISH,,,"WONK, an overly studious student [adj]"
,WOOABLE,,,"WOO, to seek the affection of [adj]"
,WOODRAT,s,,a North American rat having a well-furred tail and large ears [n -S]
,WOONERF,s,,a road in the Netherlands primarily for pedestrians and cyclists [n -S]
,WOOPIES,,,"WOOPIE, a well-off older person [n] / WOOPY, woopie (a well-off older person) [n]"
,WORKTOP,s,,a work surface especially in a kitchen [n -S]
,WORLDER,s,,"one who belongs to a specified class, time, domain, or sphere of activity [n -S]"
,WOTCHER,,,used as a casual greeting [interj]
,WRENTIT,s,,a long-tailed North American songbird [n -S]
,WRISTED,,,"WRIST, to sweep the puck along the ice before shooting it [v]"
,WRISTER,s,,a type of shot in hockey [n -S]
,WYSIWYG,,,denoting the text on a display screen that exactly corresponds to its appearance on a printout [adj]
,YACHTIE,s,,a yachter (one who sails a yacht) [n -S]
,YAFFLES,,,"YAFFLE, the European green woodpecker [n]"
,YAPPIER,,,"YAPPY, inclined to yap [adj]"
,YOBBERY,,,the behavior of a yob [n -BERIES]
,YOBBIER,,,"YOBBY, resembling a yob (a hooligan (a hoodlum (a thug))) [adj]"
,YOBBISH,,,characteristic of a yob [adj]
,YOGISMS,,,"YOGISM, the practice or system of yoga [n]"
,YOGOURT,s,,yogurt (a food made from milk) [n -S]
,YOMPING,,,"YOMP, to march with heavy equipment over difficult terrain [v]"
,YONDERS,,,"YONDER, the far distance [n]"
,YUKATAS,,,"YUKATA, a light cotton kimono [n]"
,ZAIDEHS,,,"ZAIDEH, zeda (grandfather) [n]"
,ZAIDIES,,,"ZAIDY, zeda (grandfather) [n]"
,ZETETIC,,,proceeding by inquiry [adj]
,ZIPOLAS,,,"ZIPOLA, zippo (nothing (the absence of all quantity or magnitude)) [n]"
,ZIPPILY,,,"ZIPPY, full of energy [adv]"
,ZIZZING,,,"ZIZZ, to make a buzzing sound [n]"
,ZONINGS,,,"ZONING, the division of a city or land into areas subject to planning restrictions [n]"
,ABSEILER,s,ABEEILRS,one that abseils (to rappel (to descend from a steep height by means of a rope)) [n -S]
,ACTIONED,,ACDEINOT,"ACTION, to bring a lawsuit against [v]"
,ADELGIDS,,ADDEGILS,"ADELGID, a small insect (any of a class of small invertebrate animals) [n]"
,ADVOCAAT,s,AAACDOTV,"a liqueur consisting of brandy, sugar, and eggs [n -S]"
,AEGROTAT,s,AAEGORTT,a certificate excusing an ill student from an examination [n -S]
,AERADIOS,,AADEIORS,"AERADIO, a Canadian radio service for pilots [n]"
,AGNATHAN,s,AAAGHNNT,one of a group of jawless vertebrates [n -S]
,AGONISMS,,AGIMNOSS,"AGONISM, a contest or struggle [n]"
,AIRBASES,,AABEIRSS,"AIRBASE, a military base for aircraft [n]"
h,AIRLOCKS,,ACIKLORS,"AIRLOCK, a blockage in a pipe caused by an air bubble [n]"
,AIRSIDES,,ADEIIRSS,"AIRSIDE, the side of an airport terminal facing the aircraft [n]"
,AIRTRAMS,,AAIMRRST,"AIRTRAM, an aerial cable car [n]"
,AKRASIAS,,AAAIKRSS,"AKRASIA, acrasia (a lack of self-control) [n]"
,ALCOPOPS,,ACLOOPPS,"ALCOPOP, a flavored beverage containing 4-6 percent alcohol [n]"
,ALGUACIL,s,AACGILLU,a constable in a Spanish-speaking country [n -S]
,ALGUAZIL,s,AAGILLUZ,alguacil (a constable in a Spanish-speaking country) [n -S]
,AMAUTIKS,,AAIKMSTU,"AMAUTIK, an Inuit woman's parka [n]"
,AMMOLITE,s,AEILMMOT,the fossilized shell of an ammonite [n -S]
,AMOROSOS,,AMOOORSS,"AMOROSO, a type of wine [n]"
,ANGSTIER,,AEGINRST,"ANGSTY, feeling anxiety or dread [adj]"
,ANHEDRAL,s,AADEHLNR,the downward inclination of an aircraft's wing [n -S]
,ANIMATOS,,AAIMNOST,"ANIMATO, a musical passage played in a lively manner [n]"
,ANODISED,,ADDEINOS,"ANODISE, to anodize (to coat with a protective film by chemical means) [v]"
,ANODISER,s,ADEINORS,anodizer (one that anodizes (to coat with a protective film by chemical means)) [n -S]
,ANODISES,,ADEINOSS,"ANODISE, to anodize (to coat with a protective film by chemical means) [v]"
,ANODIZER,s,ADEINORZ,one that anodizes (to coat with a protective film by chemical means) [n -S]
,APHONIES,,AEHINOPS,"APHONY, aphonia (loss of voice) [n]"
,APLANATS,,AAALNPST,"APLANAT, a type of reflecting or refracting surface [n]"
,APPLIEST,,AEILPPST,"APPLEY, resembling or suggestive of an apple [adj]"
,AQUAFITS,,AAFIQSTU,"AQUAFIT, an exercise class in water [n]"
,ARABISES,,AABEIRSS,"ARABIS, a mat-forming plant [n]"
,ARCANELY,,AACELNRY,"ARCANE, mysterious [adv]"
,ARMGUARD,s,AADGMRRU,a covering to protect the arm [n -S]
,ARSEHOLE,s,AEEHLORS,an offensive word [n -S]
,ARTESIAN,,AAEINRST,pertaining to a type of well [adj]
,ARTMAKER,s,AAEKMRRT,one that produces art [n -S]
,ASCONOID,,ACDINOOS,"ASCON, a type of sponge [adj]"
,ASEISMIC,,ACEIIMSS,not subject to earthquakes [adj]
,ASHRAMAS,,AAAHMRSS,"ASHRAMA, a stage of life in Hinduism [n]"
,ASHTANGA,s,AAAGHNST,a type of yoga (a Hindu philosophy involving physical and mental disciplines) [n -S]
,ASSONATE,ds,AAENOSST,"to use a word or syllable that resembles another in sound [v -NATED, -NATING, -NATES]"
,ASTANGAS,,AAAGNSST,"ASTANGA, ashtanga (a type of yoga (a Hindu philosophy involving physical and mental disciplines)) [n]"
,ASTHANGA,s,AAAGHNST,ashtanga (a type of yoga (a Hindu philosophy involving physical and mental disciplines)) [n -S]
,ATTABOYS,,AABOSTTY,"ATTABOY, an expression of encouragement or approval to a man or boy [n]"
,AUMBRIES,,ABEIMRSU,"AUMBRY, ambry (a recess in a church wall for sacred vessels) [n]"
,AUTOBODY,,ABDOOTUY,the shell of a motor vehicle [n -BODIES]
,AUTODIAL,s,AADILOTU,"to dial a telephone number automatically [v -DIALED, -DIALING, -DIALS or -DIALLED, -DIALLING, -DIALS]"
,AUTOLOAD,,AADLOOTU,self-loading [adj]
,BABOUCHE,s,ABBCEHOU,a heelless slipper [n -S]
,BABYLIKE,,ABBEIKLY,resembling a baby [adj]
,BACALHAU,s,AAABCHLU,baccala (a codfish (a marine food fish)) [n -S]
,BACCALAS,,AAABCCLS,"BACCALA, a codfish (a marine food fish) [n]"
,BACKBARS,,AABBCKRS,"BACKBAR, the space behind a bar with shelves for bottles [n]"
,BACKCOMB,s,ABBCCKMO,"to comb the hair from the ends to the scalp [v -ED, -ING, -S]"
,BACKDOWN,s,ABCDKNOW,the act of backing down [n -S]
,BACKFATS,,AABCFKST,"BACKFAT, a layer of fat between the skin and muscle in animals [n]"
,BACKLOTS,,ABCKLOST,"BACKLOT, an outdoor area in a movie studio [n]"
,BACKTALK,s,AABCKKLT,an impudent reply [n -S]
,BACKWIND,s,ABCDIKNW,"to deflect airflow into the back of a sail [v -ED, -ING, -S]"
,BALAFONS,,AABFLNOS,"BALAFON, a musical instrument of Africa [n]"
,BALLBOYS,,ABBLLOSY,"BALLBOY, a boy who retrieves balls during games [n]"
,BALLCOCK,s,ABCCKLLO,a type of valve [n -S]
,BALLGIRL,s,ABGILLLR,a girl who retrieves balls during games [n -S]
,BALLIEST,,ABEILLST,BALLY [adj]
,BALLOCKS,,ABCKLLOS,[n] / an offensive word [n]
,BALLSING,,ABGILLNS,"BALLS, to make a mistake in doing something [v]"
,BANDIEST,,ABDEINST,"BANDY, curved apart at the knees [adj]"
,BANDINGS,,ABDGINNS,"BANDING, the presence of stripes of contrasting colors [n]"
,BANDPASS,,AABDNPSS,the range of frequencies transmitted through a filter [n -ES]
,BANDURAS,,AABDNRSU,"BANDURA, a Ukrainian stringed instrument [n]"
,BARBOTTE,s,ABBEORTT,"a large catfish (a scaleless, large-headed fish) [n -S]"
,BARGOONS,,ABGNOORS,"BARGOON, a bargain [n]"
,BARNWOOD,s,ABDNOORW,wide wood for building barns [n -S]
,BARRIQUE,s,ABEIQRRU,a wine barrel [n -S]
,BASCINET,s,ABCEINST,basinet (a medieval helmet) [n -S]
,BASEHEAD,s,AABDEEHS,[n -S]
,BASELOAD,s,AABDELOS,the permanent load on power supplies [n -S]
,BASEPATH,s,AABEHPST,a baserunner's path between bases [n -S]
,BATHINGS,,ABGHINST,"BATHING, the act of one that bathes [n]"
,BAULKERS,,ABEKLRSU,"BAULKER, balker (one that balks (to stop short and refuse to proceed)) [n]"
,BAYFRONT,s,ABFNORTY,the shoreline of a bay (an inlet of the sea) [n -S]
,BAYNODDY,,ABDDNOYY,a bayman (a person who fishes on a bay) [n -DIES]
,BAYSIDES,,ABDEISSY,"BAYSIDE, the shore of a bay (an inlet of the sea) [n]"
,BEAGLERS,,ABEEGLRS,"BEAGLER, one that hunts game with beagles [n]"
,BEAGLING,s,ABEGGILN,"the activity of hunting with beagles [n -S] / BEAGLE, to hunt with beagles (small hounds) [v]"
,BEALINGS,,ABEGILNS,"BEALING, a beal (an infected sore (a painful place on the body)) [n]"
,BEARPAWS,,AABEPRSW,"BEARPAW, the paw of a bear [n]"
,BEAUTEST,,ABEESTTU,"BEAUT, beautiful [adj]"
,BEDHEADS,,ABDDEEHS,"BEDHEAD, an upright board at the head of a bed [n]"
,BEDLAMER,s,ABDEELMR,a young harp seal (an aquatic mammal) [n -S]
,BEDLINER,s,BDEEILNR,a protective covering for the bed of a truck [n -S]
,BEDRESTS,,BDEERSST,"BEDREST, confinement to bed [n]"
,BEDSKIRT,s,BDEIKRST,drapery attached to a bed frame [n -S]
,BEDSOCKS,,BCDEKOSS,"BEDSOCK, a sock for wear in a bed [n]"
,BEEHIVED,,BDEEEHIV,having a hairdo shaped like a beehive [adj]
,BEERNUTS,,BEENRSTU,"BEERNUT, a peanut with a sweet coating [n]"
,BEGEMMED,,BDEEEGMM,"BEGEM, to gem (to adorn with gems (precious stones)) [v]"
,BELLBUOY,s,BBELLOUY,a buoy (a warning float) having a bell [n -BUOYS]
,BELLCAST,,ABCELLST,designating a style of roof architecture [adj]
,BERGENIA,s,ABEEGINR,a flowering plant [n -S]
,BESUITED,,BDEEISTU,wearing a suit [adj]
,BETTINGS,,BEGINSTT,"BETTING, the act of gambling on the outcome of a race [n]"
,BHELPURI,s,BEHILPRU,"a dish of rice, spices, and chutney [n -S]"
,BIBBINGS,,BBBGIINS,"BIBBING, the act of tippling (to drink alcoholic beverages) [n]"
,BIFIDUMS,,BDFIIMSU,"BIFIDUM, a bacterium often added to yogurt [n]"
,BIGUINES,,BEGIINSU,"BIGUINE, beguine (a lively dance) [n]"
,BILLETEE,s,BEEEILLT,one that is billeted [n -S]
,BINGINGS,,BGGIINNS,"BINGING, bingeing (the act of indulging in something to excess) [n]"
,BIOWASTE,s,ABEIOSTW,waste composed chiefly of organic matter [n -S]
,BISMARCK,s,ABCIKMRS,a type of pastry (a sweet baked food) [n -S]
,BISTABLE,s,ABBEILST,an electronic circuit that has two stable states [n -S]
,BLABBIER,,ABBBEILR,"BLABBY, talkative [adj]"
,BLAGGERS,,ABEGGLRS,"BLAGGER, one that blags (to rob with violence) [n]"
,BLAMMING,,ABGILMMN,"BLAM, to make a loud sound like that of a gunshot [v]"
,BLANKETY,,ABEKLNTY,used as a euphemism for an unmentionable word [n -TIES]
,BLANKIES,,ABEIKLNS,"BLANKIE, a child's blanket (a piece of fabric used as a cover) [n]"
,BLEAREST,,ABEELRST,BLEAR [adj]
,BLIMPERY,,BEILMPRY,pompous behavior [n -ERIES]
,BLINGING,,BGGIILNN,"BLING, to adopt a flamboyant appearance [v]"
,BLOBBIER,,BBBEILOR,"BLOBBY, splotchy (splotched) [adj]"
,BLOKEISH,,BEHIKLOS,resembling the typical behavior of a bloke [adj]
,BLOKIEST,,BEIKLOST,"BLOKEY, blokeish (resembling the typical behavior of a bloke) [adj]"
,BLOOPIER,,BEILOOPR,"BLOOPY, being a hit that is a short fly ball [adj]"
,BLOWDART,s,ABDLORTW,a dart shot from a blowpipe [n -S]
,BLOWLAMP,s,ABLLMOPW,a blowtorch [n -S]
,BLUEBACK,s,ABBCEKLU,a bird or fish having a bluish back [n -S]
,BOATPORT,s,ABOOPRTT,an enclosure for boats [n -S]
,BOBBLIER,,BBBEILOR,"BOBBLY, resembling a small ball of wool [adj]"
,BOBSKATE,s,ABBEKOST,a child's skate having two parallel blades [n -S]
,BODYSIDE,s,BDDEIOSY,the side of the body of a vehicle [n -S]
,BODYWASH,,ABDHOSWY,a liquid product for cleansing the body [n -ES]
,BOGHOLES,,BEGHLOOS,"BOGHOLE, a natural hole in the ground with a swampy bottom [n]"
,BOGLANDS,,ABDGLNOS,"BOGLAND, an area of boggy land [n]"
,BOINGING,,BGGIINNO,"BOING, to make the sound of reverberation or vibration [v]"
,BOMBARDE,drs,ABBDEMOR,a medieval shawm [n -S]
,BOMBORAS,,ABBMOORS,"BOMBORA, a sea area over a ridge of rock [n]"
,BONEBEDS,,BBDEENOS,"BONEBED, an area containing dinosaur fossils [n]"
,BONTBOKS,,BBKNOOST,"BONTBOK, bontebok (an antelope (a ruminant mammal)) [n]"
,BONUSING,s,BGINNOSU,the act of subsidizing something [n -S]
,BOOGALOO,s,ABGLOOOO,"to dance to rock music [v -ED, -ING, -S]"
,BOOKBAGS,,ABBGKOOS,"BOOKBAG, a bag for carrying books [n]"
,BOOKWORK,s,BKKOOORW,the keeping of records of accounts [n -S]
,BOOZINGS,,BGINOOSZ,"BOOZING, the act of drinking liquor excessively [n]"
,BOPPIEST,,BEIOPPST,"BOPPY, suggestive of bebop [adj]"
,BORAZONS,,ABNOORSZ,"BORAZON, a hard form of boron nitride [n]"
,BORKINGS,,BGIKNORS,"BORKING, the act of attacking a candidate in the media [n]"
,BORONIAS,,ABINOORS,"BORONIA, an Australian shrub [n]"
,BOULTING,,BGILNOTU,"BOULT, to bolt (sift) [v]"
,BOUTADES,,ABDEOSTU,"BOUTADE, a sudden outburst [n]"
,BOWHUNTS,,BHNOSTUW,"BOWHUNT, to hunt with a bow and arrow [v]"
,BOWWOODS,,BDOOOSWW,"BOWWOOD, a deciduous tree [n]"
,BRAHMANS,,AABHMNRS,"BRAHMAN, a member of the highest Hindu caste [n]"
,BRANDADE,s,AABDDENR,a dish of cod mixed with olive oil and milk [n -S]
,BREKKIES,,BEEIKKRS,"BREKKIE, breakfast [n]"
,BRESAOLA,s,AABELORS,a dish of sliced dried beef [n -S]
,BRILLEST,,BEILLRST,BRILL [adj]
,BROADWAY,s,AABDORWY,a large main road [n -WAYS]
,BROASTED,,ABDEORST,"BROAST, to broil and roast food [v]"
,BROMANCE,s,ABCEMNOR,a close nonsexual relationship between men [n -S]
,BROMELIA,ds,ABEILMOR,a tropical plant with stiff leaves [n -S]
,BROWBONE,s,BBENOORW,the ridge of bone above the eye [n -S]
,BROWNERS,,BENORRSW,"BROWNER, a fawning person [n]"
,BRUCITES,,BCEIRSTU,"BRUCITE, a form of magnesium hydroxide [n]"
,BUDWOODS,,BDDOOSUW,"BUDWOOD, a branch having buds that is used for grafting [n]"
,BULLCOOK,s,BCKLLOOU,a worker in a logging camp [n -S]
,BULLDIKE,s,BDEIKLLU,an offensive word [n -S]
,BULLSEYE,s,BEELLSUY,the center of a target [n -S]
,BUNCHERS,,BCEHNRSU,"BUNCHER, one that gathers things together [n]"
,BUNFIGHT,s,BFGHINTU,a crowded boisterous party [n -S]
,BUNHEADS,,ABDEHNSU,"BUNHEAD, a female ballet dancer [n]"
,BURNSIDE,s,BDEINRSU,a mustache and side whiskers on the cheeks [n -S]
,BURRFISH,,BFHIRRSU,a fish with erect spines [n -ES]
,BURSTIER,,BEIRRSTU,"BURSTY, occurring in short sudden episodes or groups [adj]"
,BUSHBABY,,ABBBHSUY,a small tree-dwelling primate [n -BIES]
,BUSHLOTS,,BHLOSSTU,"BUSHLOT, a woodlot (an area restricted to the growing of forest trees) [n]"
,BUSKINGS,,BGIKNSSU,"BUSKING, the act of performing as a busker [n]"
,BUTCHEST,,BCEHSTTU,"BUTCH, being a very short haircut [adj]"
,BUTTLING,,BGILNTTU,"BUTTLE, to serve as a butler [v]"
,BUZZBAIT,s,ABBITUZZ,a vibrating fishing lure [n -S]
,BUZZIEST,,BEISTUZZ,"BUZZY, having a vibrating sound [adj]"
,BUZZINGS,,BGINSUZZ,"BUZZING, BUZZ, to make a vibrating sound [n]"
,BUZZKILL,s,BIKLLUZZ,one that has a depressing or negative effect [n -S]
,CABLINGS,,ABCGILNS,"CABLING, a cable or cables used for fastening something [n]"
,CABOVERS,,ABCEORSV,"CABOVER, a truck having the driver's compartment over the engine [n]"
,CACHACAS,,AAACCCHS,"CACHACA, a Brazilian liquor [n]"
,CAESIOUS,,ACEIOSSU,bluish green [adj]
,CAGOULES,,ACEGLOSU,"CAGOULE, a hooded waterproof garment [n]"
,CAKEHOLE,s,ACEEHKLO,a person's mouth [n -S]
,CALATHEA,s,AAACEHLT,a plant with colorful leaves [n -S]
,CALCRETE,s,ACCEELRT,a type of concrete made with calcium carbonate [n -S]
,CALFHOOD,s,ACDFHLOO,the state or time of being a calf [n -S]
,CALLALOU,s,AACLLLOU,callaloo (a crabmeat soup) [n -S]
,CALLOUTS,,ACLLOSTU,"CALLOUT, an inset in a printed article [n]"
,CALLOWLY,,ACLLLOWY,"CALLOW, immature [adv]"
,CALLUNAS,,AACLLNSU,"CALLUNA, an evergreen shrub [n]"
,CAMBOOSE,s,ABCEMOOS,a large cabin at a logging camp [n -S]
,CAMCORDS,,ACCDMORS,"CAMCORD, to videotape with a portable camera [v]"
,CAMWOODS,,ACDMOOSW,"CAMWOOD, an African hardwood tree [n]"
,CANDYMAN,,AACDMNNY,one who sells illegal drugs [n -MEN]
,CANDYMEN,,ACDEMNNY,"CANDYMAN, one who sells illegal drugs [n]"
,CANOEMAN,,AACEMNNO,a canoeist (one who canoes) [n -MEN]
,CANOEMEN,,ACEEMNNO,"CANOEMAN, a canoeist (one who canoes) [n]"
,CANTHARI,s,AACHINRT,two-handled drinking cups [n]
,CANTORIS,,ACINORST,to be sung by the north side of the choir in a church [adj]
,CANTUSES,,ACENSSTU,"CANTUS, a style of church music [n]"
,CAPONISE,ds,ACEINOPS,"to caponize (to geld a rooster) [v -ISED, -ISING, -ISES]"
,CAPRESES,,ACEEPRSS,"CAPRESE, a salad containing mozzarella, tomatoes, basil, and olive oil [n]"
,CARIBOOS,,ABCIOORS,"CARIBOO, a caribou (a large deer (a ruminant mammal)) [n]"
,CARINGLY,,ACGILNRY,in a caring manner [adv]
,CARRYCOT,s,ACCORRTY,a portable baby's cot [n -S]
,CARSPIEL,s,ACEILPRS,a curling match in which curlers compete for a car [n -S]
,CARTFULS,,ACFLRSTU,"CARTFUL, a cartload (as much as a cart can hold) [n]"
,CASELAWS,,AACELSSW,"CASELAW, a law established by previous cases [n]"
,CASHBACK,s,AABCCHKS,an incentive of cash given back to a purchaser [n -S]
,CASSIOPE,s,ACEIOPSS,an evergreen shrub [n -S]
,CASTERED,,ACDEERST,"CASTER, a small, swiveling wheel [adj]"
,CATALYSE,ds,AACELSTY,"to catalyze (to act as a catalyst) [v -LYSED, -LYSING, -LYSES]"
,CATBRIAR,s,AABCIRRT,catbrier (a thorny vine) [n -S]
,CATCHILY,,ACCHILTY,"CATCHY, pleasing and easily remembered [adv]"
,CEDARIER,,ACDEEIRR,"CEDARY, CEDAR, an evergreen tree [adj]"
,CERESINS,,CEEINRSS,"CERESIN, a hard whitish wax [n]"
,CHAINERS,,ACEHINRS,CHAINER [n]
,CHAPPALS,,AACHLPPS,"CHAPPAL, a sandal worn in India [n]"
,CHARETTE,s,ACEEHRTT,a meeting for brainstorming [n -S]
,CHARTISM,s,ACHIMRST,the use of financial charts to predict future trends [n -S]
